,4. close
2022-02-18 20:00:00,166.5000
2022-02-18 19:59:00,166.4300
2022-02-18 19:58:00,166.4300
2022-02-18 19:56:00,166.4599
2022-02-18 19:55:00,166.3700
2022-02-18 19:53:00,166.3700
2022-02-18 19:52:00,166.3400
2022-02-18 19:51:00,166.3300
2022-02-18 19:50:00,166.3500
2022-02-18 19:49:00,166.3100
2022-02-18 19:48:00,166.3500
2022-02-18 19:47:00,166.3400
2022-02-18 19:45:00,166.3200
2022-02-18 19:44:00,166.3400
2022-02-18 19:42:00,166.3700
2022-02-18 19:41:00,166.3700
2022-02-18 19:40:00,166.3700
2022-02-18 19:39:00,166.3700
2022-02-18 19:37:00,166.3700
2022-02-18 19:31:00,166.3700
2022-02-18 19:30:00,166.4400
2022-02-18 19:28:00,166.4600
2022-02-18 19:26:00,166.4100
2022-02-18 19:25:00,166.4000
2022-02-18 19:24:00,166.4100
2022-02-18 19:23:00,166.4100
2022-02-18 19:22:00,166.4100
2022-02-18 19:21:00,166.4600
2022-02-18 19:20:00,166.4600
2022-02-18 19:18:00,166.4600
2022-02-18 19:16:00,166.4900
2022-02-18 19:15:00,166.4500
2022-02-18 19:14:00,166.4500
2022-02-18 19:13:00,166.4000
2022-02-18 19:10:00,166.3900
2022-02-18 19:08:00,166.4500
2022-02-18 19:06:00,166.4900
2022-02-18 19:05:00,166.4500
2022-02-18 19:04:00,166.4400
2022-02-18 19:03:00,166.5000
2022-02-18 19:02:00,166.5000
2022-02-18 19:01:00,166.5000
2022-02-18 19:00:00,166.4700
2022-02-18 18:59:00,166.4700
2022-02-18 18:58:00,166.4000
2022-02-18 18:57:00,166.3800
2022-02-18 18:56:00,166.4000
2022-02-18 18:54:00,166.4100
2022-02-18 18:53:00,166.3800
2022-02-18 18:52:00,166.3800
2022-02-18 18:51:00,166.3800
2022-02-18 18:50:00,166.3900
2022-02-18 18:49:00,166.3800
2022-02-18 18:48:00,166.3800
2022-02-18 18:47:00,166.3800
2022-02-18 18:46:00,166.4400
2022-02-18 18:44:00,166.3200
2022-02-18 18:43:00,166.3300
2022-02-18 18:42:00,166.3900
2022-02-18 18:41:00,166.4400
2022-02-18 18:40:00,166.4400
2022-02-18 18:39:00,166.4400
2022-02-18 18:38:00,166.3600
2022-02-18 18:37:00,166.3500
2022-02-18 18:36:00,166.3500
2022-02-18 18:35:00,166.4299
2022-02-18 18:34:00,166.4000
2022-02-18 18:33:00,166.4300
2022-02-18 18:32:00,166.4100
2022-02-18 18:30:00,166.4200
2022-02-18 18:29:00,166.4200
2022-02-18 18:28:00,166.4900
2022-02-18 18:27:00,166.5000
2022-02-18 18:26:00,166.4600
2022-02-18 18:25:00,166.5000
2022-02-18 18:24:00,166.5300
2022-02-18 18:22:00,166.5500
2022-02-18 18:19:00,166.6800
2022-02-18 18:18:00,166.6800
2022-02-18 18:17:00,166.5300
2022-02-18 18:16:00,166.5400
2022-02-18 18:15:00,166.5500
2022-02-18 18:14:00,166.5001
2022-02-18 18:13:00,166.6100
2022-02-18 18:12:00,166.6800
2022-02-18 18:11:00,166.7000
2022-02-18 18:09:00,166.7200
2022-02-18 18:08:00,166.7200
2022-02-18 18:07:00,166.8800
2022-02-18 18:06:00,166.8000
2022-02-18 18:05:00,166.7600
2022-02-18 18:04:00,166.7201
2022-02-18 18:03:00,166.8000
2022-02-18 18:01:00,166.8100
2022-02-18 18:00:00,166.8000
2022-02-18 17:59:00,166.8300
2022-02-18 17:58:00,166.8300
2022-02-18 17:57:00,166.8600
2022-02-18 17:56:00,166.8700
2022-02-18 17:55:00,166.8800
